question,story_id,comment_id
what should i use to learn the basics of making websites,48709796,48711019
are there good static site generators for beginners,48709796,48711019
which static site generator should i try if i want to learn how websites work,48709796,48711019
should i choose cambridge or amazon if i have both offers,48896372,48910142
is it worth skipping a cambridge masters to work at amazon,48896372,48910142
cambridge degree vs amazon job which is better for long term career,48896372,48910142
why do teams need different roles instead of everyone doing the same work,48475871,48476505
can a company work well if everyone is just full stack,48475871,48476505
why do successful companies usually have a mix of different kinds of employees,48475871,48476505
can ai figure out what's wrong with a fire alarm from a photo,48406174,48426560
can chatgpt help match a wood floor stain from a picture,48406174,48426560
can voice mode in an ai app start talking back on its own,48406174,48426560
how do i clean up my linkedin feed so it stops showing ai hype,48765450,48782404
is it worth unfollowing people who only post crypto or ai content on linkedin,48765450,48782404
what should i do instead of scrolling social media when i open it too much,48765450,48782404
are llms good for scientific data analysis with domain specific inputs,48406174,48418297
can ai understand niche scientific problems or does it just guess,48406174,48418297
is it safe to use chatgpt for business decisions from scientific data,48406174,48418297
should i keep improving my app or start trying to get users first,48406829,48432721
is it a mistake to build the product before figuring out who wants it,48406829,48432721
how do i know if i need to stop coding and focus on finding customers,48406829,48432721
is there a way to track garmin stats with a 5 day moving average instead of daily step goals,48449187,48459090
can i make a step goal that lets me miss today if i make it up over the next few days,48449187,48459090
how can i use weather forecasts to adjust my workout or step target automatically,48449187,48459090
why do i feel less motivated to learn low level programming when ai can do it faster,49088197,49097917
what careers are better if i want to build real physical things instead of software,49088197,49097917
is it common to lose interest in pentesting or assembly because ai can do the work so fast,49088197,49097917
how can i stop low karma users from spamming,49082821,49082914
what rules could reduce abuse from new accounts,49082821,49082914
how do you limit comments and posts for users under a karma threshold,49082821,49082914
why would a scientist who codes want to go back to a domain job instead of pure software,49006088,49007468
is it better to have one person who knows the field and can code than a whole dev team,49006088,49007468
why do some developers feel disconnected from the real value of the work they build,49006088,49007468
can using claude make open source work get rejected by other devs,48886741,48887269
why would people call my code ai generated trash if i used ai help,48886741,48887269
has anyone been bullied for submitting patches with chatgpt or claude help,48886741,48887269
do moderators actually read the comments or just look at reports and emails,48886741,48888885
can i email mods if a good comment got auto removed by mistake,48886741,48888885
is it ok to criticize comments i agree with so people make a stronger case,48886741,48888885
should people be judged for their nationality if they didnt choose it,48673801,48675839
is it fair to blame russian citizens abroad for what their government does,48673801,48675839
can a country like estonia do anything about rules that treat russians differently,48673801,48675839
what should i do if i think a post breaks the rules on a site like hn,48886741,48888364
why do some people say a site's rule link is used inconsistently,48886741,48888364
why do people complain that tech news sites are getting more like reddit,48886741,48888364
why was diy repair more common in the past than it is now,48406174,48423134
what changed that made manufacturers stop letting people open and fix their own devices,48406174,48423134
why was strong encryption not really available in the 90s,48406174,48423134
why do people assume ai writing is bad when it spreads so easily,48886741,48887712
how can disliking ai text actually be a sign of low effort posts,48886741,48887712
why do humans think they can tell ai writing from real writing when they usually cant,48886741,48887712
why does every good engineering team need someone who understands the lower level details,48662310,48663976
what skill makes one developer the go to person when something weird breaks in a team,48662310,48663976
how do you become the person on the team who can dig into debugger traces and library code when others cant,48662310,48663976
how can you tell if a post was written by ai or just by a teenager,48403614,48407161
why would someone write in a really formal style online,48403614,48407161
can genuine writing be mistaken for ai text,48403614,48407161
what is do nothing meditation and how do you do it,48492118,48493625
which meditation teachers teach non meditation or do nothing practice,48492118,48493625
is there a simple meditation method where you just sit and not try to do anything,48492118,48493625
what does a tier 2 sre do at a big company,48711261,48712266
how are ops center sre and product engineers different,48711261,48712266
what kind of work does an sre handle when an alert pages,48711261,48712266
how do i know when to stop trying to make money from side projects and just get a job,49118082,49123275
is it normal to spend years on online businesses and make almost nothing,49118082,49123275
should i build apps for income or just make stuff i want to use myself,49118082,49123275
how can i build a home assistant helper that watches my house and alerts me about bad devices and broken automations,48449187,48459754
any examples of using home assistant mcp with an llm to monitor sensors and suggest automations,48449187,48459754
why does an llm have trouble using home assistant mcp correctly and how can i make it work better,48449187,48459754
do bands actually choose ticket prices on ticketmaster,48448313,48476488
why do concert prices get so high if ticketmaster is the one people blame,48448313,48476488
how much control do artists have over vip tickets and dynamic pricing,48448313,48476488
why does using ai chat sometimes feel more confusing than waiting for code to build,48568372,48568566
is prompting going to get as fast as searching the web,48568372,48568566
will ai tools make programmers obsolete once typing prompts gets quick enough,48568372,48568566
why do people say rust catches bugs before runtime,48922717,48923799
how does rust help prevent race conditions and other errors,48922717,48923799
could ai compilers become stricter than rust in the future,48922717,48923799
when did you first realize ai spam was getting good enough to fool you,48406174,48422866
has anyone gotten a sales email that replied instantly like a person and what was it,48406174,48422866
how early did people start seeing ai-written outreach emails before chatgpt came out,48406174,48422866
is ai progress still speeding up or is it slowing down,49111613,49127579
how fast has ai improved in voice and image recognition over the last 20 years,49111613,49127579
why do some people think asi is coming soon and that ai risks are hard to predict,49111613,49127579
what should i check before starting a small side business online,48625774,48626898
why do some small income ideas not make sense in my country,48625774,48626898
what local rules and taxes can make a profitable side gig not worth it,48625774,48626898
how can i use neovim to review ai code output in the terminal,48859439,48867409
what setup helps me stay on keyboard while reading claude output,48859439,48867409
how do i keep manually coding when using ai coding assistants,48859439,48867409
is a local coding ai setup actually good enough for real work or mostly just for hobbyists,48542100,48546231
what gpu and model would i need to run a decent local agent for coding tasks,48542100,48546231
can you use a local llm to run overnight browser tests and check screenshots without spending a lot,48542100,48546231
does ai make it harder to learn programming skills,48420827,48433450
why do some developers not like using ai tools,48420827,48433450
is ai useful for getting work done but bad for learning how things work,48420827,48433450
how can i get up to speed on a new codebase when my coworkers are too busy to answer a lot of questions,48406174,48421619
can ai tools help explain a system architecture or codebase when i'm onboarding to a new team,48406174,48421619
has anyone used cursor or claude code to investigate logs and database issues and find the cause of bugs,48406174,48421619
is wordpress a good choice for a simple static site,48709796,48786204
why is wordpress bad for static websites,48709796,48786204
does wordpress need ongoing maintenance even for a basic site,48709796,48786204
why are software developers scared of ai tools now,48420827,48422679
why do programmers dislike non technical people making code with ai,48420827,48422679
how is ai affecting developer jobs after covid,48420827,48422679
is the apple vision pro actually good for working away from your desk,48465702,48467477
can you watch sports on apple vision pro while doing other stuff,48465702,48467477
what does apple vision pro feel like for movies and games,48465702,48467477
which chinese chip companies are growing fast in memory and storage,48604232,48604860
is china helping fix the chip shortage with more dram and nand supply,48604232,48604860
what chinese memory makers are expanding factories and trying to sell more globally,48604232,48604860
how do you decide what docs should go on a main wiki page vs tucked away somewhere else,48996526,49017061
what's a good way to organize technical knowledge by how important it is and how often you need it,48996526,49017061
where should you store rare but critical troubleshooting steps so people can find them fast in an emergency,48996526,49017061
will ai replace all software developers or only some kinds of jobs,48668199,48675953
what kind of programming jobs will still pay the most if ai gets better,48668199,48675953
which companies will still need human engineers when ai can code most things,48668199,48675953
why would someone choose to code by hand instead of using ai tools for a side project,48922717,48923744
is it weird to prefer writing all the code yourself on personal projects,48922717,48923744
should i use an llm for hobby coding if i actually enjoy writing code myself,48922717,48923744
why is a local ai model slow on a gpu even when the gpu is fast,48694802,48695558
will an m1 mac run newer small llms well enough for decent speed,48694802,48695558
are smaller optimized models now good enough compared with much bigger older models,48694802,48695558
how do i run several llm models at once and stop when the answer is good enough?,48449187,48451913
is there a way to expose cli llm models as an openai api for other apps?,48449187,48451913
can i make a multi model llm setup where the judge is also a group of models and add specialist roles?,48449187,48451913
is a dell latitude 7490 good to use with linux and is it easy to upgrade,48888025,48904137
what's a good used dell or thinkpad laptop for linux work that isn't too heavy,48888025,48904137
is buying a second hand thinkpad x1 carbon a good idea for work and long battery life,48888025,48904137
why do people say ip when copyright patent and trademark are different,48886741,48889646
can my employer claim code i wrote on my own time,48886741,48889646
is training llms on public work actually theft or just copyright misuse,48886741,48889646
how can i keep using chatgpt if my pc wont boot and my browser chat history is on the broken machine,48406174,48453022
why does a live usb repair tool make a linux system worse when it starts deleting system files,48406174,48453022
can an ai helper recover a broken linux boot if it loses the earlier chat context after i switch to another computer,48406174,48453022
why do ai answers look right but still have obvious mistakes to someone who knows the topic,48406174,48430962
is it safe to use claude for stuff outside my field if i can't tell whats wrong,48406174,48430962
would you trust an ai to help do emergency surgery if you dont know medicine,48406174,48430962
how can i get my security camera feed into homekit from frigate,48449187,48479267
is there a way to move my eufy doorbell and kasa plugs into home assistant and then show them in homekit,48449187,48479267
what can ai help set up so i dont have to deal with all the config for home assistant and smart home devices,48449187,48479267
why would a company ask me to bring my own laptop before i get equipment,48788887,48789547
can i still do onboarding if my work laptop takes a week or two to arrive,48788887,48789547
in a regulated company is it normal to use my personal laptop for non sensitive setup work,48788887,48789547
is a2a protocol mainly for big companies or individual developers,48582679,48594938
can i run an ai agent behind an mcp server and keep its state per session,48582679,48594938
how could an mcp server start a separate agent when a tool call comes in,48582679,48594938
how do i get my first users for a new app,48942096,48947980
what videos explain getting your first customers as a founder,48942096,48947980
where can i learn how to find the first 100 users for a startup,48942096,48947980
how can ai help reverse engineer hardware drivers from linux firmware,48406174,48419602
can an ai figure out how a usb device works from its linux firmware,48406174,48419602
what can codex do to start writing a mac driver for a device with linux support,48406174,48419602
how do i find a niche audience for a side project,49118082,49124754
can a hobby app for a small group turn into steady income,49118082,49124754
is it better to build for a small loyal user base than try to make something for everyone,49118082,49124754
